"subject" "activity_id" "avg_feature"
1 1 -0.319082678224279
1 2 -0.411852232468114
1 3 -0.289868778300235
1 4 -0.633707235453001
1 5 -0.647464570427885
1 6 -0.608081172054552
2 1 -0.385649482024761
2 2 -0.363481736297548
2 3 -0.242372591786928
2 4 -0.640727678061708
2 5 -0.636528667860287
2 6 -0.639987713945268
3 1 -0.386800009351938
3 2 -0.424790672629904
3 3 -0.332856510589389
3 4 -0.623467100158378
3 5 -0.626974503909235
3 6 -0.641545346335331
4 1 -0.423680176665383
4 2 -0.413052113146453
4 3 -0.346563053414867
4 4 -0.627515151378519
4 5 -0.618906058667672
4 6 -0.630924579836978
5 1 -0.379241920546639
5 2 -0.352174554109217
5 3 -0.282871351298122
5 4 -0.627362018694393
5 5 -0.619173819375566
5 6 -0.631796446111725
6 1 -0.331213758652223
6 2 -0.327174382847872
6 3 -0.18018393713368
6 4 -0.625628016810156
6 5 -0.629359204555225
6 6 -0.619404618936793
7 1 -0.32397842316743
7 2 -0.423640184683859
7 3 -0.304269031970825
7 4 -0.629302617753506
7 5 -0.633815511502378
7 6 -0.628247712381792
8 1 -0.312810475768612
8 2 -0.307129557968573
8 3 -0.19222080266983
8 4 -0.638066572412459
8 5 -0.639809315686021
8 6 -0.627256069706875
9 1 -0.371935201771012
9 2 -0.420764353872138
9 3 -0.29928312830005
9 4 -0.628212046520611
9 5 -0.633800407014486
9 6 -0.628341141257276
10 1 -0.325918404844934
10 2 -0.340228563345566
10 3 -0.239173805954169
10 4 -0.640394561214698
10 5 -0.630906107291625
10 6 -0.633723095961287
11 1 -0.434773856257211
11 2 -0.433325063746023
11 3 -0.333138760416591
11 4 -0.636310414526361
11 5 -0.648409841428297
11 6 -0.643608285750933
12 1 -0.34155340708617
12 2 -0.418587730698458
12 3 -0.295782744752152
12 4 -0.636432716016836
12 5 -0.627558200703387
12 6 -0.630133781743144
13 1 -0.323048046800745
13 2 -0.418014091812239
13 3 -0.314504828716931
13 4 -0.638556863605263
13 5 -0.639317072584828
13 6 -0.624402293590112
14 1 -0.397649772708456
14 2 -0.3162976395237
14 3 -0.230232165816338
14 4 -0.640245618989013
14 5 -0.633939603325608
14 6 -0.628567231791648
15 1 -0.393091459285213
15 2 -0.382973632014459
15 3 -0.261285454719578
15 4 -0.641876551355809
15 5 -0.640123641513089
15 6 -0.639991764084636
16 1 -0.434345104035608
16 2 -0.443948282893054
16 3 -0.329085385135475
16 4 -0.642576373521998
16 5 -0.646592172043093
16 6 -0.635970898746305
17 1 -0.391431392061526
17 2 -0.397260255366534
17 3 -0.350920250491366
17 4 -0.643800768477521
17 5 -0.644718505083043
17 6 -0.62995800261378
18 1 -0.436119293939015
18 2 -0.471668629443868
18 3 -0.433766528518555
18 4 -0.650278849969862
18 5 -0.645554959726899
18 6 -0.645049283236033
19 1 -0.222234211722867
19 2 -0.31925451547806
19 3 -0.0418675890046122
19 4 -0.639085552216514
19 5 -0.640179021538826
19 6 -0.632992377905282
20 1 -0.269380621559851
20 2 -0.34196941435497
20 3 -0.264292188346233
20 4 -0.640093365554053
20 5 -0.620242869711171
20 6 -0.644349182517554
21 1 -0.327486549441673
21 2 -0.390988772179057
21 3 -0.284764338647062
21 4 -0.644818814881523
21 5 -0.638520358945664
21 6 -0.631188075458122
22 1 -0.270442573595752
22 2 -0.288469620350947
22 3 -0.263247279704346
22 4 -0.634344038308044
22 5 -0.63597532395474
22 6 -0.632328785354836
23 1 -0.286221439600191
23 2 -0.376928658695888
23 3 -0.200086157275329
23 4 -0.633166760059347
23 5 -0.637089951807279
23 6 -0.628071662024584
24 1 -0.422369521612476
24 2 -0.438724299340379
24 3 -0.360728926240694
24 4 -0.646712140582489
24 5 -0.634295535850311
24 6 -0.634209460575995
25 1 -0.462895537376991
25 2 -0.486148867940957
25 3 -0.425483550102427
25 4 -0.645490874191086
25 5 -0.645401613742338
25 6 -0.591397300596175
26 1 -0.39205051997675
26 2 -0.402499810096101
26 3 -0.312437675338419
26 4 -0.642974715095914
26 5 -0.644067592402012
26 6 -0.640634993799025
27 1 -0.384053704618856
27 2 -0.428716342780451
27 3 -0.297376552396724
27 4 -0.647407377504289
27 5 -0.644416479654838
27 6 -0.645995363866633
28 1 -0.393268340084244
28 2 -0.39645474997032
28 3 -0.277367533721331
28 4 -0.637430992602146
28 5 -0.628022468767385
28 6 -0.640577470585374
29 1 -0.352699779076807
29 2 -0.355522736715851
29 3 -0.299960366919137
29 4 -0.644212280407301
29 5 -0.650266021718613
29 6 -0.646346489091612
30 1 -0.378934597716737
30 2 -0.444303879849949
30 3 -0.354716119237316
30 4 -0.646198033293807
30 5 -0.630769150403759
30 6 -0.642678748740563
